CODIGO;DESCRIPCION;UNIDAD;COSTO_PROMEDIO_BS;COSTO_PROMEDIO_$;ENTRADA;SALIDA;EXISTENCIA;CATEGORIA;ESTADO
PLO-0051;LANA DE ACERO #3;PAQ;;1.07;2.0;2.0;0.0;PLOMERIA;ACTIVO
ELE-0149;LOXON TECHO IMPERMEABILIZANTE FIBRADO B;GALON;;34.48;1.0;0.0;1.0;ELECTRICIDAD;ACTIVO
CON-0095;LIMPIA POCETAS;LT;;3.15;9.0;1.0;8.0;CONSUMIBLES;ACTIVO
PIN-0328;LAVAPLATOS LIQUIDO;LT;;4.63;1.0;1.0;0.0;PINTURA;ACTIVO
CON-0096;LIMPIAVIDRIOS;LT;;4.63;1.0;0.0;1.0;CONSUMIBLES;ACTIVO
CON-0097;LOXON INT MATE EW 6098;GALON;;44.83;1.0;1.0;0.0;CONSUMIBLES;ACTIVO
CON-0098;LOXON INT MATE EW 6099;GALON;;44.83;1.0;1.0;0.0;CONSUMIBLES;ACTIVO
PIN-0329;LOXON INT MATE BASE EW 9001;GALON;;44.83;1.0;1.0;0.0;PINTURA;ACTIVO
PIN-0330;LIJAS 180#;UND;;1.5;191.0;91.0;100.0;PINTURA;ACTIVO
HER-0026;LAMINA MDF 2.44X1.82X12MM;UND;;25.0;3.0;3.0;0.0;HERRAMIENTAS;ACTIVO
ELE-0150;TINTA CARAMELO MULTILAC;LT;;1.3;11.0;10.0;1.0;ELECTRICIDAD;ACTIVO
ELE-0151;TINTA CEDRO MULTILAC;LT;;1.3;1.0;0.0;1.0;ELECTRICIDAD;ACTIVO
CON-0099;TINTA MENEQUIN CARAMELO;LT;;1.3;0.5;0.0;0.5;CONSUMIBLES;ACTIVO
ELE-0152;TINTA ROJO MULTILAC;LT;;1.3;2.0;0.0;2.0;ELECTRICIDAD;ACTIVO
PIN-0029;TINTA WUENGUE;LT;;1.3;1.0;0.0;1.0;PINTURA;ACTIVO
PIN-0030;TINTA MADERA SIN NOMBRE;LT;;0.0;0.67;0.0;0.67;PINTURA;ACTIVO
PIN-0031;LIMPIASANITARIOS;LT;;5.0;8.0;0.0;8.0;PINTURA;ACTIVO
CON-0100;LAMINAS ARMSTRONG 60X60;UND;;50.0;0.0;0.0;0.0;CONSUMIBLES;ACTIVO
CON-0101;LAMPARAS 60X60;UND;;18.0;2.0;0.0;2.0;CONSUMIBLES;ACTIVO
CON-0102;LAMINAS ARMSTRONG 60X120 COD 1729A;UND;;4.17;81.0;60.0;21.0;CONSUMIBLES;ACTIVO
PIN-0032;LAMPARAS EMPOTRABLES 18W;UND;;8.0;8.0;1.0;7.0;PINTURA;ACTIVO
MAT-0080;LAMPARA OVALADA CON PROTECTOR;UND;;8.0;1.0;0.0;1.0;MATERIALES;ACTIVO
MAT-0081;LIJAS #80;UND;;0.5;175.0;120.0;57.0;MATERIALES;ACTIVO
HER-0027;LIJAS #120;UND;;0.5;80.0;40.0;40.0;HERRAMIENTAS;ACTIVO
HER-0028;LIMPIADOR DIELÉCTRICO FRASCOS;UND;;10.8;15.0;15.0;0.0;HERRAMIENTAS;ACTIVO
MAT-0082;LIJAS #280;UND;;0.5;178.0;178.0;0.0;MATERIALES;ACTIVO
CON-0103;LIJAS #220;UND;;2.09;270.0;170.0;100.0;CONSUMIBLES;ACTIVO
HER-0029;LENTES DE SEGURIDAD;UND;;0.63;152.0;45.0;56.0;HERRAMIENTAS;ACTIVO
CON-0104;LOXON INT MATE EW 6057;GALON;;44.83;2.0;1.0;1.0;CONSUMIBLES;ACTIVO
ELE-0153;LAMPARAS LED TIPO PATINES;UND;;75.08;2.0;0.0;2.0;ELECTRICIDAD;ACTIVO
MAT-0083;LIMPIA CERAMICA;LT;;10.0;5.5;5.5;0.0;MATERIALES;ACTIVO
ELE-0154;LAMPARAS DE PISO EXTERIOR;UND;;0.0;9.0;9.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0155;LAMINAS ARMSTRONG 1.20X60;UND;;0.0;22.0;18.0;4.0;ELECTRICIDAD;ACTIVO
ELE-0156;LANA DE ACERO #5;PAQ;;6.0;5.0;4.0;1.0;ELECTRICIDAD;ACTIVO
ELE-0157;LIMPOTEX;LT;;3.64;7.0;6.0;1.0;ELECTRICIDAD;ACTIVO
ELE-0158;LAMPARA COLGANTE ORO 1767 ZX;UND;;217.67;4.0;4.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0159;LAMPARA LED RECARGABLE 40W 30CM;UND;;8.47;2.0;2.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0160;LIJA #400;UND;;0.25;50.0;20.0;30.0;ELECTRICIDAD;ACTIVO
ELE-0161;LIJA #100;UND;;1.55;300.0;152.0;148.0;ELECTRICIDAD;ACTIVO
ELE-0162;LLAVE DE ARRESTO 1/2;UND;;7.5;11.0;9.0;2.0;ELECTRICIDAD;ACTIVO
ELE-0163;LLAVE DE CHORRO BRONCE 1/2;UND;;8.0;5.0;2.0;3.0;ELECTRICIDAD;ACTIVO
ELE-0164;LLAVE TIPO GANSA AGUA PURIFICADA;UND;;3.02;1.0;1.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0165;MASILLA RELLENO MUDLO 5KG;UND;;7.0;32.0;31.0;1.0;ELECTRICIDAD;ACTIVO
ELE-0166;MOSAICO AZUL 60X60;UND;;37.84;4.5;4.5;0.0;ELECTRICIDAD;ACTIVO
ELE-0167;MANGUERA RIEGO 3/4 MTR;MTR;;25.99;100.0;0.0;100.0;ELECTRICIDAD;ACTIVO
PLO-0052;MALLA TRUCKSON 6X6X50M;UND;;0.0;4.0;4.0;0.0;PLOMERIA;ACTIVO
PLO-0053;MALLA TRUCKSON 6X6X100M;UND;;290.0;5.0;5.0;0.0;PLOMERIA;ACTIVO
PLO-0054;MECHA 1/8 METAL;UND;;0.16;2.0;2.0;0.0;PLOMERIA;ACTIVO
PLO-0055;MEZCLILLA;UND;;38.0;25.0;25.0;0.0;PLOMERIA;ACTIVO
PLO-0056;MALLA PARA CERNIR;UND;;0.0;1.2;0.0;1.2;PLOMERIA;ACTIVO
PLO-0057;MANGUERA AIRE 15M;UND;;16.67;4.0;1.0;3.0;PLOMERIA;ACTIVO
PLO-0058;MANOMETRO REFRIGERACION SIN MANGUERAS;UND;;28.5;1.0;0.0;1.0;PLOMERIA;ACTIVO
PLO-0059;MICROFONOS CONFERENCIALES NUEVOS;UND;;0.0;1.0;0.0;1.0;PLOMERIA;ACTIVO
PLO-0060;MECHA CORTA FORMICA 1/8;UND;;0.1;2.0;2.0;0.0;PLOMERIA;ACTIVO
PLO-0061;MECHA CONCRETO 1/4;UND;;5.0;2.0;0.0;2.0;PLOMERIA;ACTIVO
PLO-0062;MANGUERA CULEBRA VERDE;MTR;;1.4;200.0;50.0;150.0;PLOMERIA;ACTIVO
PLO-0063;MASCARILLAS NEGRAS VIEJAS;UND;;0.0;0.0;0.0;0.0;PLOMERIA;ACTIVO
PLO-0064;MASILLA POLIESTER ILOFLEX + ENDURECEDOR;UND;;22.0;6.0;5.0;1.0;PLOMERIA;ACTIVO
PLO-0065;MAXIM ADVANCE GAL;GALON;;0.0;8.0;0.0;8.0;PLOMERIA;ACTIVO
PLO-0066;MANTO REAL;UND;;0.0;1.0;1.0;0.0;PLOMERIA;ACTIVO
PLO-0067;MAQUINA OVERLOCK;UND;;350.0;1.0;1.0;0.0;PLOMERIA;ACTIVO
PLO-0068;MIXTO;UND;;5.35;2.0;1.0;1.0;PLOMERIA;ACTIVO
PLO-0069;MECHAS CONCRETO 5/8;UND;;3.4;5.0;0.0;5.0;PLOMERIA;ACTIVO
CON-0105;MECHAS HERRERIA;UND;;3.5;12.0;0.0;12.0;CONSUMIBLES;ACTIVO
CON-0106;MOPAS;UND;;7.0;0.0;0.0;0.0;CONSUMIBLES;ACTIVO
CON-0107;MECHAS MADERA;UND;;3.08;2.0;0.0;2.0;CONSUMIBLES;ACTIVO
MAT-0084;MANTO STANDARD 2.7MM;UND;;52.21;68.0;66.0;2.0;MATERIALES;ACTIVO
MAT-0085;MECHA 1/4 METAL PUNTA BRONCE;UND;;1.9;1.0;1.0;0.0;MATERIALES;ACTIVO
MAT-0086;MECHA 7/16 X 15CM CONCRETO;UND;;1.9;1.0;1.0;0.0;MATERIALES;ACTIVO
CON-0108;MECHAS VARIAS PAQ;PAQ;;6.9;1.0;1.0;0.0;CONSUMIBLES;ACTIVO
CON-0109;MASILLA PLASTICA 1/4 GAL;GALON;;16.78;1.0;1.0;0.0;CONSUMIBLES;ACTIVO
PLO-0070;MANGO DE RODILLO;UND;;8.62;4.0;1.0;3.0;PLOMERIA;ACTIVO
PLO-0071;MECHA 1/8 HIERRO;UND;;1.24;4.0;4.0;0.0;PLOMERIA;ACTIVO
PLO-0072;NIPLE GALVANIZADO 1/2 X 3;UND;;7.73;3.0;3.0;0.0;PLOMERIA;ACTIVO
ELE-0168;NIPLE ACERO INOX 1/2 X 15;UND;;10.5;5.0;3.0;2.0;ELECTRICIDAD;ACTIVO
ELE-0169;NAYLON DESMALEZADORA;MTR;;14.0;400.0;240.0;160.0;ELECTRICIDAD;ACTIVO
PLO-0073;NAILON PARA PESCAR;MTR;;5.0;101.0;2.0;99.0;PLOMERIA;ACTIVO
PLO-0074;NIPLE GALV 1 X 2;UND;;2.29;1.0;1.0;0.0;PLOMERIA;ACTIVO
ELE-0170;NIPLE SEMICORRIDO HIERRO GALV;UND;;2.04;1.0;1.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0171;OXIDO NEGRO BAYC;KG;;12.61;16.0;16.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0172;OXIDO MARRON BAY;KG;;7.18;35.0;35.0;0.0;ELECTRICIDAD;ACTIVO
PLO-0075;OMEGAS;UND;;2.03;239.0;125.0;14.0;PLOMERIA;ACTIVO
PLO-0076;OXIMETRO;UND;;0.0;24.0;0.0;24.0;PLOMERIA;ACTIVO
PLO-0077;"PAPEL 9"" SANITISU PAQ";PAQ;;12.5;12.0;8.0;4.0;PLOMERIA;ACTIVO
PLO-0078;PRIDE;UND;;9.5;3.0;3.0;0.0;PLOMERIA;ACTIVO
PLO-0079;PLASTICO LIQUIDO 1/4 MATE REINCO;LT;;15.0;0.5;0.0;0.5;PLOMERIA;ACTIVO
MAT-0087;PINTURA DEKORAL BLANCO MATE;GALON;;35.0;16.0;15.0;1.0;MATERIALES;ACTIVO
MAT-0088;PINTURA MONTAFIX SATINADO CHOCOLATE;GALON;;60.0;60.0;27.0;33.0;MATERIALES;ACTIVO
PLO-0080;PINTURA SHERWIN BASE INTERIOR CAUCHO;GALON;;35.32;0.0;0.0;0.0;PLOMERIA;ACTIVO
MAT-0089;PINTURA INTERIOR 9010;GALON;;17.52;90.0;68.0;22.0;MATERIALES;ACTIVO
PLO-0081;PINTURA SHERWIN EXTERIOR MATE CAUCHO;GALON;;35.32;0.5;0.0;0.5;PLOMERIA;ACTIVO
PLO-0082;PINTURA SHERWIN BLANCO MODERNO LOXON;GALON;;35.32;1.0;0.0;1.0;PLOMERIA;ACTIVO
PLO-0083;PINTURA BRILLO SEDA BLANCA AV2000;GALON;;60.0;2.0;2.0;0.0;PLOMERIA;ACTIVO
PLO-0084;PLASTICO NEGRO MTR;MTR;;5.25;48.0;10.0;40.0;PLOMERIA;ACTIVO
MAT-0090;PANEL 18W CUAD BLANCO 6500K;UND;;0.0;2.0;2.0;0.0;MATERIALES;ACTIVO
MAT-0091;PERFIL PIZARRA 1X1X1/8;UND;;23.0;2.0;2.0;0.0;MATERIALES;ACTIVO
MAT-0092;PISA VIDRIOS 0.20X0.26;UND;;0.0;68.0;0.0;68.0;MATERIALES;ACTIVO
MAT-0093;PISA VIDRIOS 0.13X29;UND;;0.0;30.0;0.0;30.0;MATERIALES;ACTIVO
MAT-0094;POLVILLO;UND;;0.0;4.0;4.0;0.0;MATERIALES;ACTIVO
MAT-0095;PEGA CEMENTO 1/8 PVC;UND;;2.0;2.0;2.0;0.0;MATERIALES;ACTIVO
MAT-0096;PLATINA 1 1/4X3/16X6M;UND;;0.0;1.0;1.0;0.0;MATERIALES;ACTIVO
MAT-0097;PIZARRAS ACRILICAS PERFIL MADERA;UND;;0.0;4.0;0.0;4.0;MATERIALES;ACTIVO
MAT-0098;PUERTA LISA C/CERRAD 2X0.80 DERECHA;UND;;0.0;1.0;1.0;;MATERIALES;ACTIVO
MAT-0099;PERFIL TIPO U DE ALUM. 1/2X1/2 DE 3 MTRS;UND;;10.0;25.0;25.0;0.0;MATERIALES;ACTIVO
ELE-0173;PLATINA DE ALUM. NAT. DE 1/2X1/2X3MTRS;UND;;0.0;5.0;5.0;0.0;ELECTRICIDAD;ACTIVO
CON-0110;PASTA TERMICA PARA SOLDADURA;UND;;64.8;1.0;1.0;0.0;CONSUMIBLES;ACTIVO
CON-0111;PINTURA LOXON EXTERIOR MAGNOLIA MATE;GALON;;61.0;1.0;0.0;1.0;CONSUMIBLES;ACTIVO
ELE-0174;PINTURA LOXON EXTERIOR MATE;GALON;;200.0;1.0;0.0;1.0;ELECTRICIDAD;ACTIVO
ELE-0175;PINTURA LOXON EXTERIOR BASE MATE;GALON;;26.0;2.0;0.0;2.0;ELECTRICIDAD;ACTIVO
ELE-0176;PARAL DE ROMANILLA 2.00X5X3;UND;;30.0;3.0;3.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0177;PEGA TANKE 25ML;UND;;5.53;1.0;1.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0178;PALA DE JARDINERÍA 320M;UND;;3.48;1.0;1.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0179;PASTA PROFESIONAL CROMAS;UND;;15.52;1.0;0.0;1.0;ELECTRICIDAD;ACTIVO
ELE-0180;PAÑO ABSORBENTE;UND;;3.69;2.0;2.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0181;PRENSA TIPO C;UND;;7.0;1.0;0.0;1.0;ELECTRICIDAD;ACTIVO
ELE-0182;PLACAS DE ACERO PARA PUERTAS DE MADERA;UND;;0.0;12.0;12.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0183;PINTURA IMPERMEABILIZANTE GRIS PARA TECHO;GALON;;0.0;1.0;1.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0184;PINTURA 261-101 (CANDELARIA);GALON;;35.32;3.0;3.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0185;PINTURA VERDE (EXTERIOR);GALON;;53.3;3.0;3.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0186;PINTURA EPOXICA GRIS;GALON;;0.0;1.0;0.0;1.0;ELECTRICIDAD;ACTIVO
ELE-0187;PINTURA EPOXICA INDUSTRIAL ROJO;GALON;;70.0;1.0;0.0;1.0;ELECTRICIDAD;ACTIVO
ELE-0188;PINTURA AV2000 BLANCO MATE INTERIOR;GALON;;42.0;1.0;1.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0189;POLIURETANO MONTADUR COLOR ROJO;GALON;;56.0;133.0;47.0;85.0;ELECTRICIDAD;ACTIVO
ELE-0190;PALETAS DE PLÁSTICO PARA MOVER PINTURA;UND;;0.0;4.0;0.0;4.0;ELECTRICIDAD;ACTIVO
MAT-0100;PARQUET SATINADO MARCA REINCO;GALON;;40.0;0.83;0.0;0.83;MATERIALES;ACTIVO
ELE-0191;PASTA PROFESIONAL PINCO;UND;;50.0;0.0;0.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0192;PASTA PROFESIONAL SUPER BRILLO;UND;;50.0;3.0;3.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0193;PEGA PARA MADERA MARCA COVO;UND;;0.0;0.33;0.0;0.33;ELECTRICIDAD;ACTIVO
ELE-0194;PINCELES DE MADERA USADOS;UND;;0.0;1.0;1.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0195;PINTURA AL FRIO AMARILLO PRIMARIO;UND;;3.23;1.0;0.0;1.0;ELECTRICIDAD;ACTIVO
MAT-0101;PINTURA AL FRIO MARRÓN PELUCHE 60ML;UND;;3.23;1.0;0.0;1.0;MATERIALES;ACTIVO
ELE-0196;PINTURA AL FRIO NARANJA 60ML;UND;;3.23;1.0;0.0;1.0;ELECTRICIDAD;ACTIVO
ELE-0197;POTE PEQUEÑO TINTA MULTILAC MIEL;UND;;1.5;1.0;0.0;1.0;ELECTRICIDAD;ACTIVO
ELE-0198;PUTTY QUICK;UND;;16.02;18.0;12.0;6.0;ELECTRICIDAD;ACTIVO
ELE-0199;PALA DE JARDINERÍA 320M;UND;;0.0;0.0;0.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0200;PORTAMANGUERAS;UND;;15.0;4.0;0.0;4.0;ELECTRICIDAD;ACTIVO
HER-0030;PEGA COLA BLANCA;UND;;40.35;3.0;3.0;0.0;HERRAMIENTAS;ACTIVO
CON-0112;PARACHOQUE HILUX;UND;;0.0;1.0;0.0;1.0;CONSUMIBLES;ACTIVO
ELE-0201;PARALES;UND;;5.23;346.0;20.0;356.0;ELECTRICIDAD;ACTIVO
CON-0113;PANEL LED PARA EMPOTRAR 6W;UND;;3.69;5.0;4.0;1.0;CONSUMIBLES;ACTIVO
CON-0114;PRESOSTATO;UND;;10.0;1.0;0.0;1.0;CONSUMIBLES;ACTIVO
PIN-0033;PASADORES CUADRADOS;UND;;2.45;14.0;4.0;10.0;PINTURA;ACTIVO
HER-0031;PISAVIDRIO ACERO INOX;UND;;5.7;11.0;0.0;11.0;HERRAMIENTAS;ACTIVO
HER-0032;PERFILES DE ALUMINIO 3M;UND;;13.0;19.0;8.0;2.0;HERRAMIENTAS;ACTIVO
HER-0033;PERROS PARA GUAYAS;UND;;1.49;8.0;0.0;8.0;HERRAMIENTAS;ACTIVO
ELE-0202;PALOS PARA CEPILLO;UND;;2.0;17.0;1.0;16.0;ELECTRICIDAD;ACTIVO
CON-0115;PINTURA PINCO AMARILLO CANCHA VIAL;GALON;;58.98;1.0;0.5;0.5;CONSUMIBLES;ACTIVO
CON-0116;PINTURA MAMPICA BLANCO CANCHA VIAL;GALON;;58.98;1.0;1.0;0.0;CONSUMIBLES;ACTIVO
ELE-0203;PEGA SOLD 43;UND;;48.0;4.0;4.0;0.0;ELECTRICIDAD;ACTIVO
HER-0034;PERCHERO 4G METAL MAGNIFICENT;UND;;0.0;1.0;1.0;0.0;HERRAMIENTAS;ACTIVO
PIN-0034;PALA CON MANGO LA PALMA;UND;;4.41;2.0;0.0;2.0;PINTURA;ACTIVO
PIN-0035;PASTA PROFESIONAL SUDDEN BOND;UND;;37.88;11.0;11.0;0.0;PINTURA;ACTIVO
HER-0035;PALUSTRAS LISAS;UND;;7.9;7.0;0.0;7.0;HERRAMIENTAS;ACTIVO
CON-0117;PLAFON 1.20 75W;UND;;16.0;1.0;1.0;0.0;CONSUMIBLES;ACTIVO
HER-0036;PANEL LED 18W;UND;;8.0;1.0;1.0;0.0;HERRAMIENTAS;ACTIVO
CON-0118;PAVCO AF RED.SOL.1;UND;;1.83;1.0;1.0;0.0;CONSUMIBLES;ACTIVO
HER-0037;PAVCO AF ADAP M.1;UND;;1.32;1.0;1.0;0.0;HERRAMIENTAS;ACTIVO
HER-0038;PIZARRA DE CLASES;UND;;81.13;4.0;0.0;4.0;HERRAMIENTAS;ACTIVO
PLO-0085;PROMO RIEL 20W;UND;;56.43;1.0;1.0;0.0;PLOMERIA;ACTIVO
ELE-0204;PRIMER SUPER EDIL;UND;;27.0;3.0;3.0;0.0;ELECTRICIDAD;ACTIVO
ELE-0205;PROBASE FIJADOR SELLADOR ACRIL;UND;;23.93;1.0;1.0;0.0;ELECTRICIDAD;ACTIVO
PLO-0086;PROMO RIEL 20W;UND;;56.43;1.0;1.0;0.0;PLOMERIA;ACTIVO
PLO-0087;PLASTICO NEGRO 3X5;UND;;29.22;1.0;1.0;0.0;PLOMERIA;ACTIVO
PLO-0088;PEGA PVC 1/4;UND;;15.37;2.0;2.0;0.0;PLOMERIA;ACTIVO
PLO-0089;PIEDRA PICADA;UND;;31.49;1.0;1.0;0.0;PLOMERIA;ACTIVO
MAT-0102;PLETINAS 1X3/16X6MTS;UND;;14.11;10.0;10.0;0.0;MATERIALES;ACTIVO
MAT-0103;PLETINA 1 1/4X3/16X6;UND;;17.64;2.0;2.0;0.0;MATERIALES;ACTIVO
MAT-0104;PARAL 1.5/8X3.04;UND;;5.5;46.0;46.0;0.0;MATERIALES;ACTIVO
MAT-0105;PERFIL PVC UNION H;UND;;18.19;25.0;25.0;0.0;MATERIALES;ACTIVO
PLO-0090;QUITA TELARAÑAS;UND;;6.0;1.0;0.0;1.0;PLOMERIA;ACTIVO
PLO-0091;REFRIGERANTE R410 CILINDRO 11.35KG;UND;;147.7;2.0;1.0;1.0;PLOMERIA;ACTIVO
